OBJECTID,RouteIdentifier,StateRouteNumber,RelatedRouteType,RelatedRouteQualifier,BeginStateRouteMilepost,BeginAheadBackIndicator,EndStateRouteMilepost,EndAheadBackIndicator,BeginAccumulatedRouteMile,EndAccumulatedRouteMile,InventoryDirection,LRSDate,GlobalID,SHAPESTLength
9597,007,007,,,57.7799987792969,A,58.5999984741211,A,57.439998626709,58.2599983215332,I,2021/12/31 00:00:00+00,{0085ABC0-C87E-40D0-A1F1-AC2080C9854B},4305.19906363407
9598,005S125733,005,S1,25733,0,A,0.340000003576279,A,0,0.340000003576279,I,2021/12/31 00:00:00+00,{013B424B-DBEC-494C-B0A4-7F91693D8659},1812.85531802961
9599,002,002,,,60.3400001525879,A,63.4500007629395,A,60.4199981689453,63.560001373291,D,2021/12/31 00:00:00+00,{0142B17D-4D22-4646-9513-C0655B98820A},16563.5896983355
9600,002,002,,,251.550003051758,A,263.440002441406,A,243.470001220703,255.360000610352,I,2021/12/31 00:00:00+00,{01656FA7-E25C-4DBB-BD8E-7689F543D5AD},62796.6856677335
9601,104,104,,,15.9200000762939,A,24.2299995422363,A,15.7200002670288,24.1000003814697,D,2021/12/31 00:00:00+00,{01AAE9E2-2EB9-4DC0-AC9B-4DF21CC0E606},44159.4441431149
9602,002P111923,002,P1,11923,0,A,0.430000007152557,A,0,0.430000007152557,I,2021/12/31 00:00:00+00,{01B55381-2334-4AE1-8369-780EB3C8C13A},2218.55917404857
9603,002,002,,,298.279998779297,A,306.200012207031,A,290.179992675781,298.100006103516,I,2021/12/31 00:00:00+00,{01CE80B6-2DFC-43C4-8384-29C43512BDE2},41617.9314123087
9604,546,546,,,0,A,8.02000045776367,A,0,8.02000045776367,D,2021/12/31 00:00:00+00,{02C01B3D-6B3D-48C3-AA8A-7A89885434DA},42372.8741785481
9605,005R213000,005,R2,13000,0,A,0.280000001192093,A,0,0.280000001192093,I,2021/12/31 00:00:00+00,{03ACAA4A-408F-4251-8C35-5DDA042B1148},1623.39196491693
9606,005S213211,005,S2,13211,0,A,0.239999994635582,A,0,0.239999994635582,I,2021/12/31 00:00:00+00,{03AE9447-C757-4838-BEC5-FB4A5FFDD79C},1324.22609665005
9607,101COPRTANG,101,CO,PRTANG,251.25,A,251.320007324219,A,1.60000002384186,1.66999995708466,I,2021/12/31 00:00:00+00,{040ECA88-88EA-4162-8A06-8944130DF882},379.697742558909
9608,512,512,,,0,A,12.0600004196167,A,0,12.0600004196167,I,2021/12/31 00:00:00+00,{04498E13-9A70-4875-9DBB-CF1D040A633C},63705.8620620802
9609,005Q115260,005,Q1,15260,0,A,0.330000013113022,A,0,0.330000013113022,I,2021/12/31 00:00:00+00,{044E60FF-0FDF-404B-B331-3336FE9E57D6},1836.25385316408
9610,395,395,,,172.580001831055,A,176.919998168945,A,177.339996337891,181.679992675781,I,2021/12/31 00:00:00+00,{04536F34-3F53-49A8-A933-0CE53D1734CA},22919.0142393136
9611,014,014,,,0,A,18.8999996185303,A,0,18.9099998474121,D,2021/12/31 00:00:00+00,{04950F4B-B96B-4035-ABB9-942A69AFE68E},99813.9828307596
9612,002S110416,002,S1,10416,0,A,0.360000014305115,A,0,0.360000014305115,I,2021/12/31 00:00:00+00,{04A13E61-7B90-41A4-A82C-E7CE9C084A24},1910.51895746649
9613,127,127,,,11.0200004577637,A,27.0499992370605,A,11.0200004577637,27.0499992370605,D,2021/12/31 00:00:00+00,{04EA3BA8-ECFB-491E-BF41-D0E0872A4C00},84574.3728283537
9614,516,516,,,4.98000001907349,A,11.4499998092651,A,5.25,11.7200002670288,D,2021/12/31 00:00:00+00,{054FA135-5130-4D89-BAC9-ECA2C54BF527},34160.6060335331
9615,161,161,,,29.8700008392334,A,36.25,A,29.8700008392334,36.25,I,2021/12/31 00:00:00+00,{056CA8F4-B68F-480A-A8B6-BC6B62252E7B},33541.8683985174
9616,270,270,,,0,A,2.40000009536743,A,0,2.40000009536743,I,2021/12/31 00:00:00+00,{059E149F-2D44-4669-98ED-BBBA93C208F9},12694.8338482591
9617,005S116966R,005,S1,16966R,0,A,0.28999999165535,A,0,0.28999999165535,I,2021/12/31 00:00:00+00,{05ABABA5-CCAD-41B2-A1DA-9196F5E3905D},1523.25981140905
9618,305,305,,,0.0199999995529652,A,6.82000017166138,A,0,6.80000019073486,D,2021/12/31 00:00:00+00,{05B2FABB-A32D-4B18-AEEF-69046B397663},36015.8266270613
9619,002P200194,002,P2,00194,0,A,0.319999992847443,A,0,0.319999992847443,I,2021/12/31 00:00:00+00,{05C522A0-5028-4B64-9EED-2998F0EFEC6D},1737.56272790266
9620,005R112116,005,R1,12116,0,A,0.280000001192093,A,0,0.280000001192093,I,2021/12/31 00:00:00+00,{05CCCA4B-EC33-4F1B-93A5-0C11B9E9412A},1529.3401649461
9621,028,028,,,3.83999991416931,B,0.870000004768372,A,3.83999991416931,4.94000005722046,I,2021/12/31 00:00:00+00,{05D66857-B967-4CBB-AC32-4D0FE82A343F},5896.8589674462
9622,012,012,,,133.979995727539,A,135.190002441406,A,133.720001220703,134.929992675781,I,2021/12/31 00:00:00+00,{05DF68F1-235A-4B6B-8555-EDE665CC076E},6434.71453765502
9623,005S119365,005,S1,19365,0,A,0.379999995231628,A,0,0.379999995231628,I,2021/12/31 00:00:00+00,{0603C2E2-AEB4-425A-B261-01554CD433F9},1960.10259986392
9624,005S518155,005,S5,18155,0,A,0.639999985694885,A,0,0.639999985694885,I,2021/12/31 00:00:00+00,{063D3595-11AC-4347-9ACE-198D9643D848},3296.62919782774
9625,101,101,,,57.5900001525879,A,59.3800010681152,A,57.5900001525879,59.3800010681152,D,2021/12/31 00:00:00+00,{0654C985-69FC-4DAE-BE70-2539341E8C70},9437.05213737171
9626,012,012,,,66.5400009155273,A,83.7300033569336,A,66.2699966430664,83.4599990844727,I,2021/12/31 00:00:00+00,{06990791-6B17-40C3-B853-3511BFF5B396},90752.5887521538
9627,005P110255,005,P1,10255,0,A,0.310000002384186,A,0,0.310000002384186,I,2021/12/31 00:00:00+00,{06AB6FD6-FC85-4491-AFCB-FC8EBD8813B2},1628.18710043327
9628,005Q104025,005,Q1,04025,0,A,0.360000014305115,A,0,0.360000014305115,I,2021/12/31 00:00:00+00,{06DCDE73-E260-4CAA-9BDE-A41FFA1F748C},1911.53812548475
9629,028,028,,,22.0300006866455,A,25.5200004577637,A,26.1000003814697,29.5900001525879,D,2021/12/31 00:00:00+00,{06E0ECF1-978E-41E8-8F37-6C196FA7A538},18336.5976577245
9630,002,002,,,229.479995727539,A,251.550003051758,A,221.399993896484,243.470001220703,I,2021/12/31 00:00:00+00,{072DB068-6583-417F-A3F2-D949056E1329},116477.000913649
9631,028SPWENTCH,028,SP,WENTCH,4.25,A,5.01000022888184,A,0,0.759999990463257,I,2021/12/31 00:00:00+00,{07600D5D-418E-4BF7-844A-4C6702C555EE},4041.75045596925
9632,020FTANACOR,020,FT,ANACOR,0,A,0.0500000007450581,A,0,0.0500000007450581,I,2021/12/31 00:00:00+00,{07E7453D-7A9A-4ED6-A727-1AC086EE5171},287.453115646694
9633,005P107067,005,P1,07067,0,A,0.340000003576279,A,0,0.340000003576279,I,2021/12/31 00:00:00+00,{07E9641C-BD7C-48D2-9CFC-E47D9549267D},1851.57416654132
9634,005Q503744,005,Q5,03744,0,A,0.620000004768372,A,0,0.620000004768372,I,2021/12/31 00:00:00+00,{07F0FA8B-02A3-4F60-A2D1-74BDD50676E2},3339.82158684793
9635,014,014,,,75.7300033569336,A,101.019996643066,A,75.620002746582,100.910003662109,I,2021/12/31 00:00:00+00,{08378B59-B2D4-4834-983E-3F59784A5239},133426.811647461
9636,005P210793,005,P2,10793,0,A,0.400000005960464,A,0,0.400000005960464,I,2021/12/31 00:00:00+00,{095B950B-B572-4879-8B41-EE9099535D25},2229.25697518461
9637,002,002,,,127.830001831055,A,207.779998779297,A,120.970001220703,199.710006713867,D,2021/12/31 00:00:00+00,{0969BC69-E910-4673-A606-C5B302BD9B19},415803.904646441
9638,018,018,,,2.41000008583069,B,27.9099998474121,A,0.209999993443489,28.4099998474121,D,2021/12/31 00:00:00+00,{09EC064C-0B3B-4A74-8B79-060B2D882742},148879.895670981
9639,501,501,,,0.0500000007450581,A,0.610000014305115,A,0.0500000007450581,0.610000014305115,I,2021/12/31 00:00:00+00,{0A4FE988-FCA9-4116-B197-001522528642},2910.83701440465
9640,014Q101544,014,Q1,01544,0,A,0.430000007152557,A,0,0.430000007152557,I,2021/12/31 00:00:00+00,{0A60C4CF-F8CE-404C-BCAE-9C699A98FE9B},2251.13990124804
9641,127,127,,,7.88000011444092,A,11.0200004577637,A,7.88000011444092,11.0200004577637,D,2021/12/31 00:00:00+00,{0AB1AE86-8F03-4D11-9233-6C612ECE3278},16628.8021131515
9642,012,012,,,327.609985351562,A,341.779998779297,A,324.829986572266,338.609985351562,I,2021/12/31 00:00:00+00,{0AD9FC48-E61C-4E12-AC4A-D20D2CD682BA},72762.1492821775
9643,500,500,,,0,A,8.30000019073486,A,0,10.1300001144409,I,2021/12/31 00:00:00+00,{0B0A25F0-2C9B-45CD-A209-16D20F6C891D},53439.3875773756
9644,020,020,,,12.8800001144409,A,12.9099998474121,A,12.5799999237061,12.6099996566772,I,2021/12/31 00:00:00+00,{0BA6CD4D-02B0-4696-A7D8-FCC8F9999D6E},160.84558213299
9645,005R106375,005,R1,06375,0,A,0.340000003576279,A,0,0.340000003576279,I,2021/12/31 00:00:00+00,{0C083160-0E5C-4B36-9AFB-9C3A026E0098},1756.82478842315
9646,005S105669,005,S1,05669,0,A,0.660000026226044,A,0,0.660000026226044,I,2021/12/31 00:00:00+00,{0CDC68A8-5BD8-49DC-9436-BBEF8D56672A},3494.84292560022
9647,005Q110317,005,Q1,10317,0,A,0.170000001788139,A,0,0.170000001788139,I,2021/12/31 00:00:00+00,{0D0823E0-93B7-4ADE-9BB9-2DB7F3EB2171},947.758573109867
9648,395,395,,,22.7199993133545,A,96.129997253418,A,29.4799995422363,102.690002441406,I,2021/12/31 00:00:00+00,{0D5ADBD5-7034-408B-861F-185E17F3EC2A},386526.549789469
9649,005R117843,005,R1,17843,0,A,0.709999978542328,A,0,0.709999978542328,I,2021/12/31 00:00:00+00,{0DBB0757-46F1-41A4-8284-9D90F9A96722},3685.17476514864
9650,823,823,,,0.0900000035762787,A,1.53999996185303,A,0.970000028610229,2.35999989509583,D,2021/12/31 00:00:00+00,{0E0C0184-4CBB-45C2-8D6B-DEC468C7A83E},7424.47652766537
9651,900,900,,,5.92999982833862,A,9.89999961853027,A,0,3.97000002861023,I,2021/12/31 00:00:00+00,{0E17B612-A0EF-4E65-A68E-9E52D59B6705},20956.1714296333
9652,005S116279,005,S1,16279,0,A,0.349999994039536,A,0,0.349999994039536,I,2021/12/31 00:00:00+00,{0E697EE7-B52A-4578-BAF5-C953C0EEAC42},1878.74972577796
9653,125SP125SP,125,SP,125SP,6.09000015258789,A,6.82000017166138,A,0,0.730000019073486,D,2021/12/31 00:00:00+00,{0EB54DE4-EB60-410B-BF2D-974FF9AFA330},3925.52996458518
9654,104,104,,,24.4500007629395,A,32.2799987792969,A,24.4099998474121,31.75,I,2021/12/31 00:00:00+00,{0EBE9E03-4F43-4CE5-8191-C8D82222EB7F},39004.8586768775
9655,003,003,,,28.9799995422363,A,33.7700004577637,A,28.9500007629395,33.7400016784668,D,2021/12/31 00:00:00+00,{0F0A08B5-9248-4ABC-A514-6C50451EA363},25277.3493669837
9656,203,203,,,23.1900005340576,A,24.1700000762939,A,23.2800006866455,24.2600002288818,I,2021/12/31 00:00:00+00,{0F87557C-81AF-4250-B1AC-6695B3871C65},5194.97592793986
9657,002,002,,,210.509994506836,A,222.279998779297,A,202.440002441406,214.199996948242,I,2021/12/31 00:00:00+00,{0F8E4D51-DA35-48EE-AA84-89FCAB735178},62040.4411907457
9658,522,522,,,0.0799999982118607,A,10.460000038147,A,0.0799999982118607,10.4099998474121,D,2021/12/31 00:00:00+00,{112A4D4A-AD44-445B-8637-67C3DA99F465},54518.5417708253
9659,167,167,,,0,A,0.0299999993294477,A,0,0.0299999993294477,D,2021/12/31 00:00:00+00,{112E9C2A-8FFB-42B0-B25D-FBBB5CB48639},133.623076759032
9660,097,097,,,265.109985351562,A,314.739990234375,A,250.160003662109,299.779998779297,D,2021/12/31 00:00:00+00,{113CFA71-5E2F-4F8A-ACCD-B38368C24BB7},262035.842400961
9661,204,204,,,0,B,2.34999990463257,A,0,2.38000011444092,I,2021/12/31 00:00:00+00,{113E7441-578A-4341-AD2E-22529E41D943},12554.4405820589
9662,405,405,,,0,A,30.3199996948242,A,0,30.2999992370605,D,2021/12/31 00:00:00+00,{11BA1A8C-2149-484F-B2BC-0B265A4F90FF},159920.581943598
9663,097COMARYHL,097,CO,MARYHL,2.65000009536743,A,2.6800000667572,A,0.0599999986588955,0.0900000035762787,I,2021/12/31 00:00:00+00,{11BFEFF5-6D68-4E16-9CB7-DDB7241F2083},227.788835871919
9664,195,195,,,38.5999984741211,A,40.5099983215332,A,36.7400016784668,38.6500015258789,I,2021/12/31 00:00:00+00,{11C2D772-8D96-424E-85F6-31045BF6B4D6},10078.6801203483
9665,002S101437,002,S1,01437,0,A,0.189999997615814,A,0,0.189999997615814,I,2021/12/31 00:00:00+00,{11DCF44E-30F2-4710-90C7-AEF0869BBD1A},1041.22113474825
9666,002S128170,002,S1,28170,0,A,0.400000005960464,A,0,0.400000005960464,I,2021/12/31 00:00:00+00,{11FF027D-91C4-4204-B62B-100B513A5C60},2104.10429429621
9667,028,028,,,3.01999998092651,B,3.83999991416931,B,3.01999998092651,3.83999991416931,D,2021/12/31 00:00:00+00,{122078C5-FA6F-4F4C-A8DA-78934A21E160},4252.10902789927
9668,020,020,,,20.7299995422363,A,22.7000007629395,A,20.3500003814697,22.3099994659424,D,2021/12/31 00:00:00+00,{124CD6C0-1FF8-4515-83C0-6805C4524772},10403.772877686
9669,128,128,,,0,A,0.509999990463257,A,0,0.509999990463257,D,2021/12/31 00:00:00+00,{129F44A4-8D93-4FB7-B713-A765A5CF2956},2710.54359521702
9670,206,206,,,0,A,0.0399999991059303,A,0,0.0399999991059303,I,2021/12/31 00:00:00+00,{12FD4305-296D-4843-82F2-1EA981A9E3FB},218.146041660897
9671,016P100207,016,P1,00207,0,A,0.409999996423721,A,0,0.409999996423721,I,2021/12/31 00:00:00+00,{1344D7FC-2520-4056-8CEC-D3C731DCEA48},2204.19804925188
9672,524,524,,,0,A,5.28999996185303,A,0.119999997317791,5.40999984741211,I,2021/12/31 00:00:00+00,{1350B78D-EF6B-4378-846B-3BD7A95EC14E},27902.9891026037
9673,002CONEWPRT,002,CO,NEWPRT,334.380004882812,A,334.450012207031,A,0,0.0700000002980232,D,2021/12/31 00:00:00+00,{13723AAF-078C-48E8-AB89-44B9A37E77ED},364.03102954835
9674,003P103804,003,P1,03804,0,A,0.25,A,0,0.25,I,2021/12/31 00:00:00+00,{13C923EB-E5F2-4C0A-93F4-A6979D666B92},1386.76159768644
9675,285,285,,,4.3600001335144,A,5.03999996185303,A,4.3600001335144,5.03999996185303,I,2021/12/31 00:00:00+00,{1457829B-9B5C-42BB-93DA-50AF0A058E93},3593.51295664135
9676,530,530,,,20.8999996185303,A,21.5599994659424,A,3.95000004768372,4.40999984741211,D,2021/12/31 00:00:00+00,{14980086-4FCA-49CC-8BB6-B3F12569E463},2502.83442719783
9677,002,002,,,263.440002441406,A,281.619995117188,A,255.360000610352,273.540008544922,I,2021/12/31 00:00:00+00,{14C2FE0A-FEEC-433E-90F3-09C4CD0DF915},95896.0183340028
9678,012,012,,,422.010009765625,A,432.619995117188,A,418.730010986328,429.350006103516,D,2021/12/31 00:00:00+00,{14E20CD5-D1BF-4534-8E54-EB58F1447B90},55846.1331462686
9679,003,003,,,34.5,A,53.6100006103516,A,34.4700012207031,53.560001373291,I,2021/12/31 00:00:00+00,{14E3105E-A277-436A-93DE-6F0AFFF87D12},100924.511156217
9680,005Q105966,005,Q1,05966,0,A,0.209999993443489,A,0,0.209999993443489,I,2021/12/31 00:00:00+00,{151FFD55-D941-490B-9085-F85B8EC928BA},1157.64264818378
9681,395,395,,,164.5,A,166.850006103516,A,169.270004272461,171.619995117188,I,2021/12/31 00:00:00+00,{154C81C4-86BB-4014-8449-8D877925D5AE},12381.4447569379
9682,011,011,,,19.9300003051758,A,21.2800006866455,A,19.9500007629395,21.2999992370605,D,2021/12/31 00:00:00+00,{15647B7C-8629-49ED-ACCC-846343C05563},7107.29311124772
9683,290,290,,,0.0700000002980232,A,0.140000000596046,A,0,0.0700000002980232,D,2021/12/31 00:00:00+00,{159A502A-6D2D-4BFB-BC43-8665E9004EDA},374.918049701793
9684,005Q103275,005,Q1,03275,0,A,0.479999989271164,A,0,0.479999989271164,I,2021/12/31 00:00:00+00,{15D0C444-C8D5-4EEC-98DE-A58BDF68C3E1},2471.25585519692
9685,970,970,,,0,A,10.3100004196167,A,0,10.3100004196167,D,2021/12/31 00:00:00+00,{160BCCF0-E142-4147-9DFF-42C7510CAC81},54432.3200308376
9686,097,097,,,2.5,A,2.58999991416931,A,2.74000000953674,2.82999992370605,I,2021/12/31 00:00:00+00,{16165055-A665-4D79-A892-BBE864C0D038},544.257671177282
9687,182,182,,,0,A,15.1899995803833,A,0,15.1899995803833,D,2021/12/31 00:00:00+00,{16553500-FB7D-4646-BE9B-F15A45E78C8E},80329.0126021117
9688,003,003,,,33.7700004577637,A,34.5,A,33.7400016784668,34.4700012207031,D,2021/12/31 00:00:00+00,{1693EF80-6E7C-4B5C-998C-61A77D60211C},3806.27791658021
9689,012,012,,,135.190002441406,A,190.460006713867,A,134.929992675781,190.169998168945,I,2021/12/31 00:00:00+00,{1792529F-C45E-4F4D-98BF-790AA00226F9},291396.888188105
9690,027,027,,,0,A,0.740000009536743,A,2.40000009536743,3.14000010490417,I,2021/12/31 00:00:00+00,{17A97AD1-1542-4964-AF2C-2A46CF91DF9F},3919.92915234123
9691,525SPPAINE,525,SP,PAINE,5.59999990463257,A,6.46000003814697,A,0,0.860000014305115,I,2021/12/31 00:00:00+00,{17BDC034-26A9-41B4-9D41-3DA80A59FA89},4385.63973426761
9692,012Q133585,012,Q1,33585,0,A,0.509999990463257,A,0,0.509999990463257,I,2021/12/31 00:00:00+00,{17D00771-313F-4E05-9E14-FEAA9BFC6E76},2725.66369882647
9693,195,195,,,5.98999977111816,A,7.19000005722046,A,6.30000019073486,7.5,I,2021/12/31 00:00:00+00,{180AED55-E099-4EEF-B4A0-E205EFB2EB0F},6297.81923225963
9694,195,195,,,19.8999996185303,A,22.8299999237061,A,20.2000007629395,23.1900005340576,I,2021/12/31 00:00:00+00,{18282A7D-2F4C-4381-BD06-0B8D8F988DB7},15813.7022285053
9695,097,097,,,12.0699996948242,A,12.3299999237061,A,12.3100004196167,12.5699996948242,D,2021/12/31 00:00:00+00,{1838FD51-5F89-433F-9D53-AC35C3E97F8D},1386.83520044627
9696,005S313329,005,S3,13329,0,A,0.209999993443489,A,0,0.209999993443489,I,2021/12/31 00:00:00+00,{187E0CE6-4D9F-4A7A-BAF9-E5BB04C28804},1129.49848339127
9697,125,125,,,0,A,4.44999980926514,A,0,4.44999980926514,I,2021/12/31 00:00:00+00,{18DB70FC-D612-45C4-9B91-5491EF0E16B7},23498.179589567
9698,285,285,,,0.610000014305115,A,1.11000001430511,A,0.610000014305115,1.11000001430511,I,2021/12/31 00:00:00+00,{18DEFBD8-5A3C-430F-B9D3-2CB8D56FD674},2590.11564005946
9699,016R101842,016,R1,01842,0,A,0.550000011920929,A,0,0.550000011920929,I,2021/12/31 00:00:00+00,{1966D9CA-4CE6-44C5-8656-DC9DEF5BB746},2947.13082802902
9700,304,304,,,0,A,2.91000008583069,A,0,2.90000009536743,D,2021/12/31 00:00:00+00,{1A3A3D03-54D7-46A3-8907-44514457DD14},15299.736025281
9701,509,509,,,0,A,3.88000011444092,B,0,3.88000011444092,I,2021/12/31 00:00:00+00,{1A446205-9E0B-48BF-8D2D-182B6208486E},20533.6293126357
9702,285,285,,,4.3600001335144,A,5.03999996185303,A,4.3600001335144,5.03999996185303,D,2021/12/31 00:00:00+00,{1A5554F0-D2BC-40DB-98EA-A25C317E6770},3555.52297255028
9703,002,002,,,263.440002441406,A,281.619995117188,A,255.360000610352,273.540008544922,D,2021/12/31 00:00:00+00,{1A840B02-F1E6-4A87-9D38-D1A2B797DB22},95935.5530037737
9704,285,285,,,2.85999989509583,A,4.3600001335144,A,2.85999989509583,4.3600001335144,D,2021/12/31 00:00:00+00,{1BA9EA90-C232-457B-94FD-0BB921347C19},7888.43050129759
9705,005Q105788,005,Q1,05788,0,A,0.550000011920929,A,0,0.550000011920929,I,2021/12/31 00:00:00+00,{1BAB4F78-830E-4BED-98ED-F75C78253A93},2896.01616725246
9706,117,117,,,0,A,0.0900000035762787,A,0,0.0900000035762787,I,2021/12/31 00:00:00+00,{1BB10709-2945-4DE7-8687-B9BD24421D4D},477.434104052041
9707,524,524,,,5.28999996185303,A,5.32000017166138,A,5.40999984741211,5.44000005722046,D,2021/12/31 00:00:00+00,{1BCBBAE5-1BE6-4874-AAFA-59D4AEA5CBC7},118.107755417088
9708,005Q121551,005,Q1,21551,0,A,0.469999998807907,A,0,0.469999998807907,I,2021/12/31 00:00:00+00,{1BCBCA11-2CEC-4055-B030-1865DD450A21},2484.50166798918
9709,005S520553,005,S5,20553,0,A,0.439999997615814,A,0,0.439999997615814,I,2021/12/31 00:00:00+00,{1BF3896B-E6D2-4CD9-B23D-24D7A6D450FC},2236.2459053737
9710,529,529,,,3.74000000953674,A,5.84999990463257,A,4.92999982833862,7.03999996185303,I,2021/12/31 00:00:00+00,{1C260553-A824-4E9F-B0C6-C66FEFFDAD54},11081.6759878708
9711,513,513,,,0,A,3.34999990463257,A,0,3.34999990463257,I,2021/12/31 00:00:00+00,{1C8CC435-0AD2-4E70-8497-28AF9C517877},17656.8895897073
9712,097,097,,,218.960006713867,A,226.399993896484,A,204.020004272461,211.460006713867,I,2021/12/31 00:00:00+00,{1CA20F69-EB25-48E0-8B75-F8FBF1DFB313},39361.6911054053
9713,005R119294,005,R1,19294,0,A,0.300000011920929,A,0,0.300000011920929,I,2021/12/31 00:00:00+00,{1CE0FD98-62A3-4AE4-822C-0EF9BC98C4ED},1649.22935439776
9714,509,509,,,19.6200008392334,A,24.3400001525879,B,23.3700008392334,28.0900001525879,I,2021/12/31 00:00:00+00,{1D9023A0-0184-4DB9-A69C-54F7F8F14C6C},24918.7110116918
9715,305,305,,,6.82000017166138,A,12.8199996948242,A,6.80000019073486,12.8000001907349,I,2021/12/31 00:00:00+00,{1DB582E5-3825-490B-8A8B-B936F85EA4E6},31650.0492568231
9716,005Q106394,005,Q1,06394,0,A,0.550000011920929,A,0,0.550000011920929,I,2021/12/31 00:00:00+00,{1DCEB160-8409-481C-B8E2-578E1DA81377},2836.55608929286
9717,503,503,,,1.01999998092651,A,4.57999992370605,A,1.01999998092651,4.57999992370605,D,2021/12/31 00:00:00+00,{1E054912-667C-4EC1-A39E-1073CBD4FEE5},18850.7133033194
9718,005P215405,005,P2,15405,0,A,0.389999985694885,A,0,0.389999985694885,I,2021/12/31 00:00:00+00,{1E19BD30-F680-4A64-8FFA-13D720C9FCFC},2076.4207293242
9719,097,097,,,248.960006713867,A,253.490005493164,A,234.020004272461,238.550003051758,D,2021/12/31 00:00:00+00,{1E38C995-6100-4AE2-8B3A-CC953F158CA8},23961.8772649695
9720,116,116,,,0,A,2.83999991416931,A,0,2.83999991416931,D,2021/12/31 00:00:00+00,{1E5466E0-DFB2-4C37-AD54-4E9A36ED6EE2},14997.2927004157
9721,005S126209,005,S1,26209,0,A,0.5,A,0,0.5,I,2021/12/31 00:00:00+00,{1E916B3D-4CC4-4F3C-8CB1-8FBD4D1550C4},2571.27025925669
9722,512,512,,,0,A,12.0600004196167,A,0,12.0600004196167,D,2021/12/31 00:00:00+00,{1ECDDDE1-C37A-455E-B08F-06C57114FECF},63591.8855935403
9723,527,527,,,2.63000011444092,A,11.9200000762939,A,0,9.28999996185303,D,2021/12/31 00:00:00+00,{1EF23B45-00B4-4807-A07E-DDA998C21C39},49082.3814732287
9724,202,202,,,6.34000015258789,A,10.2700004577637,A,6.34000015258789,10.1999998092651,I,2021/12/31 00:00:00+00,{1EFC4B37-E808-4867-9972-92345820EF6D},20375.9205898587
9725,097SPORONDO,097,SP,ORONDO,213.360000610352,A,213.619995117188,A,0,0.259999990463257,I,2021/12/31 00:00:00+00,{1F0FCBE2-1DDF-4FAC-928F-FCCCD7FEFB7F},1378.9809254682
9726,002,002,,,207.779998779297,A,210.509994506836,A,199.710006713867,202.440002441406,D,2021/12/31 00:00:00+00,{1F550AEF-315F-4CC4-98F2-0CB2F9D7A82B},14417.8201336245
9728,005Q102219,005,Q1,02219,0,A,0.389999985694885,A,0,0.389999985694885,I,2021/12/31 00:00:00+00,{1FDD5429-73FE-4E84-95A7-32FEF4C6450C},2056.35391818429
9729,097,097,,,213,A,215.529998779297,A,198.059997558594,200.589996337891,I,2021/12/31 00:00:00+00,{20251F6B-0465-4019-8AC7-29CC01D7C206},13319.1780268747
9730,195,195,,,19.8999996185303,A,22.8299999237061,A,20.2000007629395,23.1900005340576,D,2021/12/31 00:00:00+00,{20695AF1-3AD6-4E22-A18F-0ED6D76D5D86},15813.7022285053
9731,005Q100824,005,Q1,00824,0,A,0.769999980926514,A,0,0.769999980926514,I,2021/12/31 00:00:00+00,{20E65229-9C8D-4AC4-8CB8-D74647BDA912},4094.44486216867
9732,099,099,,,22.9699993133545,A,26.4200000762939,A,16.7900009155273,20.2399997711182,D,2021/12/31 00:00:00+00,{21D175FD-497B-451E-815E-00FD8A0AB4E9},18238.4131552687
9733,005P116421,005,P1,16421,0,A,0.379999995231628,A,0,0.379999995231628,I,2021/12/31 00:00:00+00,{2244F85C-5D2C-4AC6-9B0A-99DADFE64884},2115.46338470522
9734,012,012,,,304.679992675781,A,315.970001220703,A,301.899993896484,313.190002441406,D,2021/12/31 00:00:00+00,{23062038-DDD3-4A18-AEDB-D9FA43372CEC},59545.0544985091
9735,005R117471,005,R1,17471,0,A,0.409999996423721,A,0,0.409999996423721,I,2021/12/31 00:00:00+00,{23894794-6438-49C0-A93F-C3AF26EDA0D2},2150.06288760274
9736,012,012,,,291.670013427734,A,304.679992675781,A,288.850006103516,301.899993896484,I,2021/12/31 00:00:00+00,{23A103B9-85B8-44BA-9092-0635780B2396},68869.253503668
9737,167,167,,,5.26000022888184,A,26.4799995422363,A,6.5,27.7600002288818,I,2021/12/31 00:00:00+00,{240E4562-C7DA-4845-90A4-BFC51F45D708},112344.234974548
9738,005R517276,005,R5,17276,0,A,0.189999997615814,A,0,0.189999997615814,I,2021/12/31 00:00:00+00,{241EB97C-F048-4EFF-BC0E-424C0A335AFD},1070.07934876616
9739,169,169,,,19.2099990844727,A,25.2299995422363,A,19.2099990844727,25.2299995422363,D,2021/12/31 00:00:00+00,{250376B1-B383-4578-B3C4-8DE50EB500BB},31817.8175803803
9740,516,516,,,2.02999997138977,A,4.98000001907349,A,2.01999998092651,5.25,I,2021/12/31 00:00:00+00,{2525DB88-683B-4B64-A8C5-2A7C84ADBD22},17103.2501853799
9741,518,518,,,0,A,3.78999996185303,A,0,3.40000009536743,I,2021/12/31 00:00:00+00,{255C217F-5F48-4669-9E80-3682416E031F},17943.6311709252
9742,005S117351,005,S1,17351,0,A,0.319999992847443,A,0,0.319999992847443,I,2021/12/31 00:00:00+00,{258B3D3A-2B2B-42B3-BB2B-C93475B686FC},1719.04842929193
9743,099,099,,,32.7000007629395,A,36.8300018310547,A,26.4400005340576,30.4099998474121,I,2021/12/31 00:00:00+00,{2593CF64-4022-48A3-AC34-A251F5832D45},20986.3879104549
